
AdultSymptoms,Abdominal pain
AdultSymptoms,Blood in stool
AdultSymptoms,Chest pain
AdultSymptoms,Constipation
AdultSymptoms,Cough
AdultSymptoms,Diarrhea
AdultSymptoms,Difficulty swallowing
AdultSymptoms,Dizziness
AdultSymptoms,Eye discomfort and redness
AdultSymptoms,Foot pain or ankle pain
AdultSymptoms,Foot swelling or leg swelling
AdultSymptoms,Headaches
AdultSymptoms,Heart palpitations
AdultSymptoms,Hip pain
AdultSymptoms,Knee pain
AdultSymptoms,Low back pain
AdultSymptoms,Nasal congestion
AdultSymptoms,Nausea or vomiting
AdultSymptoms,Neck pain
AdultSymptoms,Numbness or tingling in hands
AdultSymptoms,Pelvic pain: Female
AdultSymptoms,Pelvic pain: Male
AdultSymptoms,Shortness of breath
AdultSymptoms,Shoulder pain
AdultSymptoms,Sore throat
AdultSymptoms,Urinary problems
AdultSymptoms,Vision problems
AdultSymptoms,Wheezing
